route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100001,1,1,,,0,,E0071C,FFFFFF
100003,1,3,,,0,,F29DC2,FFFFFF
100004,1,4,,,0,,EA71A5,FFFFFF
100005,1,5,,,0,,A69CC8,FFFFFF
100007,1,7,,,0,,F08D51,FFFFFF
100009,1,9,,,0,,F09086,FFFFFF
100012,1,12,,,0,,98BF1D,FFFFFF
100013,1,13,,,0,,A98567,FFFFFF
100015,1,15,,,0,,5AAC31,FFFFFF
100016,1,16,,,0,,06ADA5,FFFFFF
100017,1,17,,,0,,85D0F5,FFFFFF
100018,1,18,,,0,,1D92D1,FFFFFF
100055,1,SB55,,,3,,000000,FFFFFF
100101,1,101,,,3,,000000,FFFFFF
100104,1,104,,,3,,000000,FFFFFF
100106,1,106,,,3,,000000,FFFFFF
100109,1,109,,,3,,000000,FFFFFF
100116,1,116,,,3,,000000,FFFFFF
100118,1,118,,,3,,000000,FFFFFF
100120,1,120,,,3,,000000,FFFFFF
100121,1,121,,,3,,000000,FFFFFF
100122,1,122,,,3,,000000,FFFFFF
100123,1,123,,,3,,000000,FFFFFF
100124,1,124,,,3,,000000,FFFFFF
100125,1,125,,,3,,000000,FFFFFF
100126,1,126,,,3,,000000,FFFFFF
100127,1,127,,,3,,000000,FFFFFF
100130,1,130,,,3,,000000,FFFFFF
100131,1,131,,,3,,000000,FFFFFF
100132,1,132,,,3,,000000,FFFFFF
100133,1,133,,,3,,000000,FFFFFF
100134,1,134,,,3,,000000,FFFFFF
100135,1,135,,,3,,000000,FFFFFF
100136,1,136,,,3,,000000,FFFFFF
100138,1,138,,,3,,000000,FFFFFF
100139,1,139,,,3,,000000,FFFFFF
100140,1,140,,,3,,000000,FFFFFF
100141,1,141,,,3,,000000,FFFFFF
100142,1,142,,,3,,000000,FFFFFF
100143,1,143,,,3,,000000,FFFFFF
100144,1,144,,,3,,000000,FFFFFF
100145,1,145,,,3,,000000,FFFFFF
100146,1,146,,,3,,000000,FFFFFF
100147,1,147,,,3,,000000,FFFFFF
100148,1,148,,,3,,000000,FFFFFF
100149,1,149,,,3,,000000,FFFFFF
100150,1,150,,,3,,000000,FFFFFF
100151,1,151,,,3,,000000,FFFFFF
100152,1,152,,,3,,000000,FFFFFF
100153,1,153,,,3,,000000,FFFFFF
100154,1,154,,,3,,000000,FFFFFF
100155,1,155,,,3,,000000,FFFFFF
100156,1,156,,,3,,000000,FFFFFF
100157,1,157,,,3,,000000,FFFFFF
100158,1,158,,,3,,000000,FFFFFF
100159,1,159,,,3,,000000,FFFFFF
100160,1,160,,,3,,000000,FFFFFF
100161,1,161,,,3,,000000,FFFFFF
100162,1,162,,,3,,000000,FFFFFF
100164,1,164,,,3,,000000,FFFFFF
100165,1,165,,,3,,000000,FFFFFF
100166,1,166,,,3,,000000,FFFFFF
100167,1,167,,,3,,000000,FFFFFF
100172,1,172,,,3,,000000,FFFFFF
100191,1,191,,,3,,000000,FFFFFF
100192,1,192,,,3,,000000,FFFFFF
100193,1,193,,,3,,000000,FFFFFF
100195,1,195,,,3,,000000,FFFFFF
100196,1,196,,,3,,000000,FFFFFF
300020,3,SB20,,,3,,000000,FFFFFF
300021,3,SB21,,,3,,000000,FFFFFF
300022,3,SB22,,,3,,000000,FFFFFF
300023,3,SB23,,,3,,000000,FFFFFF
300024,3,SB24,,,3,,000000,FFFFFF
300025,3,SB25,,,3,,000000,FFFFFF
300201,3,201,,,3,,000000,FFFFFF
300202,3,202,,,3,,000000,FFFFFF
300203,3,203,,,3,,000000,FFFFFF
300204,3,204,,,3,,000000,FFFFFF
300205,3,205,,,3,,000000,FFFFFF
300206,3,206,,,3,,000000,FFFFFF
300207,3,207,,,3,,000000,FFFFFF
300208,3,208,,,3,,000000,FFFFFF
300209,3,209,,,3,,000000,FFFFFF
300211,3,211,,,3,,000000,FFFFFF
300212,3,212,,,3,,000000,FFFFFF
300213,3,213,,,3,,000000,FFFFFF
300214,3,214,,,3,,000000,FFFFFF
300215,3,215,,,3,,000000,FFFFFF
300217,3,217,,,3,,000000,FFFFFF
300218,3,218,,,3,,000000,FFFFFF
300222,3,222,,,3,,000000,FFFFFF
300227,3,227,,,3,,000000,FFFFFF
300229,3,229,,,3,,000000,FFFFFF
300232,3,232,,,3,,000000,FFFFFF
300235,3,235,,,3,,000000,FFFFFF
300236,3,236,,,3,,000000,FFFFFF
300238,3,238,,,3,,000000,FFFFFF
